index,content,token
685,"Let's say someone has, they're big, right?",42
686,"These things are advantages in fighting and leadership, it's the same thing.",76
687,Let's say someone is super articulate.,38
688,That's helpful.,15
689,Let's say someone doesn't have a bad temper.,44
690,"That's very helpful, but everyone is at a different level.",58
691,"Well just like you can take a bunch of different sized and shaped and athletic ability people and you can make them better at fighting, you can take a bunch of people with different levels of leadership characteristics and you can improve them.",244
692,And then there are actual moves.,32
693,There's actual moves that you can do as a leader that are just like a Jiu Jitsu move.,85
694,"Oh, Joe comes to me and he's yelling and screaming at me that he didn't get the, I didn't give him two extra people to go on his job.",133
695,"Instead of me going, hey, Joe, shut up.",39
696,You don't know what you're talking about.,41
697,"Instead of actually listening to you, right?",44
698,"I listen to you say, well, hold on, I didn't know you needed that many people.",78
699,What do you need them for?,26
700,So I show a little sense of urgency.,36
701,I kind of reflect what your emotions are.,41
702,"So I'm not just creating a fight between you and me because if you and I are fighting, you and I are not finding a solution.",124
703,So I'm going to reflect a little bit of your emotion and then I'm going to diminish it a little bit so you and I can have a real conversation.,142
704,"So there's moves that you can do as a leader that function like a Jiu Jitsu move and they're very, very powerful.",113
705,"The more of them you learn, the better off you'll be.",53
706,And you need to practice them.,30
707,You won't be good out of the gate.,34
708,"It's going to take some, just like if I showed you in our mock and you never done Jiu Jitsu before, you're not going to be able to just get on the mat and do it to somebody.",173
709,You're going to have to try it a couple times.,46
710,You're going to have to learn the little nuances to the move.,61
711,So there are ways that leaders can get better.,46
712,"But yes, there's absolutely natural leadership qualities that make people just a natural, better leader.",104
713,But even those people can improve.,34
714,"So your question of out of a thousand people, how many really good leaders there are, well, you have to ask, okay, you just talk about how many people are just naturally born great leaders.",189
715,You're probably your suspicion is correct.,42
716,It's not a huge amount.,23
717,But how many of those leaders can you improve exponentially in their ability to lead?,85
718,"That's what, you don't have a company that's on front.",54
719,That's what we do all the time is we go and work with companies.,64
720,We work with leaders.,21
721,That is exactly what we do.,27
722,"And we take companies of, I mean, we work with companies that have 150,000 employees and you start getting everyone all the leaders aligned and getting the frontline troops, understanding where the, where the leadership is and what they're thinking.",249
723,"So you can become a much, much better leader over time.",55
724,Now how much of this do we see in the civilian sector?,54
725,"How much do even more directly, how much of this do we see in the political world?",82
726,"The answer is, unbelievably small amount.",41
727,"I mean, it's a ridiculously small amount.",41
728,It's a ridiculously small amount.,33
729,Why is that?,12
730,I bet there's a lot of reasons.,31
731,"First of all, who, who at this point in the world thinks that that sounds like a great job, right?",98
732,"Hey, I'm going to go get attacked from all sides.",49
733,I'm going to have my personal life picked apart.,48
734,"I'm going to get, you know, make, I'm going to work really hard and really not, I'm going to have a pay cap on how much money I make.",133
735,"There's all kinds of reasons why becoming a politician doesn't look like the best job for most people that would look and say, hey, would I rather be the CEO of a company and make it to a money and make, create a huge product and leave a big impact and influence thousands of people that work on my company in a positive way or would I rather go and get ridiculed and get broke down and have to try and get my job a kid in four years or two years or whatever the case may be.",475
736,"It's a tough, that's a tough job too.",37
737,"And a lot of people say, I'm not going to, why would I jump into that game?",75
738,"Well, I know I say that, why would I jump into that game?",57
739,Why would I want to go and be a politician right now?,53
740,Right?,6
741,It's crazy.,11
742,"Like for me to, for me to want to go into the, into the political world, there would have to be complete nutter chaos in America.",129
743,"I mean, way beyond, beyond where we're at.",42
744,Are you thought about this?,27
745,Yeah.,5
746,"I'm telling you what I think when, because people ask me, oh, you should do this, you should do that.",101
747,"I say, um, you know, we're not at a point where we need this to kind of, we might be about four days away from it.",114
748,We could be.,12
749,"I think the answer, you know, let's get, let's get out, Dwayne the Rock Johnson.",80
750,I agree with you.,17
751,"He's, he's the guy that could really, I think, unify people and I think he would have to run as an independent and I recommend he does it right now.",148
752,Right now.,10
753,"He's like, yeah, you know what?",31
754,I'm in.,7
755,I'm in.,7
756,I think he would win.,21
757,I think he would win.,21
758,I really think he would win as an independent.,46
759,He's obviously a smart guy.,27
760,He's super articulate.,22
761,He listens.,11
762,You can tell that he listens.,29
763,"I mean, when you see him interact with people, he's, he's very genuine, how he interacts.",89
764,"He's built businesses, right?",29
765,"He's built big, well, really, uh, productive businesses that are doing great.",77
766,"He's, I think he'd be great.",28
767,It's got a fantastic work ethic.,32
768,"I got a fantastic work ethic that he, you know, he built, he came up from nothing, right?",89
769,He had seven bucks in his pocket.,33
770,"We all know the story and, and he has more bucks in his pocket than that now.",77
771,"So, and most important, I think, I think he's just a popular guy.",65
772,"You know, he would get up and, and when the country's going through hard times, you know, it's talking to a friend on the way up here and they were saying, hey, you know, people want leadership and they're looking for it and, and they're not hearing it.",253
773,And a lot of times people don't even recognize the fact that they don't have leadership.,88
774,"They, they don't even recognize it.",35
775,It's a leadership vacuum.,25
776,"So, they don't even know what they should be thinking.",54
777,"Well, let me give you an example.",33
778,"You're, let's take a seal platoon.",34
779,"Seal platoon, raids a house.",28
780,There's some explosions.,24
781,There's some gunfire and no one's really sure where it's coming from and no one's really sure what to do.,105
782,"Now, that individual, a lot of the individuals in that platoon are just kind of holding on security.",100
783,"They're holding their, they're not really sure what to do.",58
784,And they're not really even recognizing that there's a leadership vacuum.,73
785,"But then someone comes in, the leader, the platoon chief, the platoon commander comes in and goes, everyone get to the roof right now.",134
786,"And then we're like, oh, cool.",30
787,Now we know what to do.,23
788,So same thing happening in America right now.,45
789,"There's no kind of voice saying, hey, everyone.",47
790,This is what I just saw on this video.,38
791,This is what I just saw.,24
792,This was a heinous crime.,25
793,This obviously we have some deep rooted problems that we need to fix.,69
794,"Here's the way I'm going to move forward addressing these problems, getting to the bottom of them.",98
795,And here's how long the timeline is going to be.,48
796,"And by the way, my ears are open and you know where the place, you know where I'm coming right now?",99
797,I'll be in Minneapolis tomorrow afternoon.,42
798,"That's, you know, like, oh, we got a problem like that.",55
799,"If we have a problem like that, I am going on the ground.",57
800,I will be there.,16
801,I'll be there.,14
802,"I'm the guy, I'm the president.",31
803,So I'll be there in what two hours.,35
804,I'll be there on the ground.,28
805,I'm going to find out what's going on.,38
806,I'm going to meet with people.,30
807,We're going to talk.,20
808,I'm going to listen.,20
809,I'm going to find out what this means.,38
810,I'm going to get to the bottom of these problems.,49
811,"That's what then you can actually speak from a position of, okay, I just spoke to these nine people.",100
812,"Matter of fact, they're coming with me.",39
813,We're going to come up with a plan.,35
814,We're going to come up with a plan together.,44
815,"You know, that's another huge leadership.",41
816,"Everyone thinks in the military that the leader's sitting at the top going, all right, gentlemen, here's what we're going to do.",128
817,We're going to approach this building from the west.,52
818,We're going to assault the front door.,38
819,"No, that's not the way it works.",32
820,That's not the way it should work.,34
821,"The way it should work is I say to you, Joe, I say, hey, Joe, here's the target.",80
822,I want you to go after tonight.,31
823,Come up with a plan.,20
824,"And you say, okay, cool.",24
825,"And then you, if you're a good leader, you get with your team and say, hey guys, here's the target.",99
826,We're going after how do you all think we should do it?,55
827,And now you all come up with your own plan together.,52
828,"And then you come back to me and say, hey, Jaco, here's how I want to do it.",76
829,"And I said, looks good.",23
830,"And maybe if I got to make a little adjustment, I say, hey, make this a little adjustment here or maybe use this a weapon over here or whatever.",144
831,"I make little tiny adjustments, but it's still your plan.",57
832,"And from a leadership perspective, that means you are, you and your team are totally bought into the plan.",106
833,You made it up.,15
834,As opposed to me coming down and barking orders at you and telling you how we're going to do it doesn't work.,109
835,"I mean, I can force you to do it because I outrank you.",55
836,"No, I order you to do this.",27
837,That doesn't fly.,17
838,"You know how many times in my entire military career, I said, hey, I'm the boss.",80
839,You better do what I tell you to do.,36
840,You want to know how many times I said that?,44
841,Zero.,5
842,Zero times.,11
843,No one thinks like that.,24
844,"So in a leadership position, what you have to do is say, hey, I'm going to come.",80
845,I'm going to find out what's going on.,38
846,I'm going to talk to people and we're going to put together a plan to figure out how we're going to get this solved.,116
847,This is not acceptable in America.,34
848,That sounds fantastic.,22
849,"But what if you're a Republican and they're Democrats and then you get on the ground and you have a mayor that's non-compliant, you have a governor that disagrees with your strategy, they don't want you there in the first place, they want to work it out themselves, they want to defund the police, they're voting unanimously to defund the police.",346
850,They don't like what you're saying.,35
851,Cool.,5
852,Okay.,5
853,"If that's where we're at right now, let's come up with a plan.",62
854,Let's see how we get through this.,34
855,"Here's some things I'm worried about because if you, if you're telling me you want to defund the police because you think that this police department is completely and utterly corrupt, okay, let's, let's explore that because you could be right.",244
856,You could be right.,19
857,"This is where a lot of leaders make a mistake where it becomes an ego thing, especially you're like, you're talking Republican and Democrats.",141
858,"So that means if I'm a Republican, no Democrat can have a good idea ever.",73
859,"And if I'm a Democrat, no Republican can have a good idea ever.",63
860,That's completely wrong.,24
861,That's completely wrong.,24
862,"So even right now, like when you threaten me right now, right now, you're like, hey, what if I tell you I want to defund the police and I want to tell you I don't want the cops and I want you to tell me all those things as a good leader.",237
863,You know what I'm gonna say?,28
864,All right.,10
865,There must be something really bad going on here beyond even what I just saw on this video.,91
866,I'm coming and I want to hear what's happening and I want you to tell me what your suggestions are.,99
867,"And if your suggestions are to defund the police, let's explore where that, where that plays out.",97
868,"Let's see where that ends up because as we start peeling back the layers, even the most, the most ardent anti police person, you're going to get to a point where you say, okay, when my house is when one of your constituents house is being broken into, who are they going to call?",279
869,What mechanism are we going to put in place for security?,57
870,How are we going to keep people safe from crime?,48
871,And then they've got to answer that question.,45
872,And maybe they come up with a good answer.,42
873,I don't know yet.,17
874,"But as a leader, you have to listen to other people's ideas.",60
875,"And we have to, you absolutely have to do that.",47
876,"There's a saying from Patten, leader on the front line is always right.",71
877,The leader on the front line is always right.,45
878,"So I've always tried to embrace that theory, not just from a leadership perspective, but even from a human perspective.",119
879,"You know, when you want to tell me something that I don't know about, I'm going to listen to you.",97
880,"I'm actually going to, I'm actually really going to listen to you.",66
881,"I'm going to try and ask myself, well, let's see, Joe lives in this city and Joe's here with this community.",108
882,And Joe is telling me right now that we should have no police here.,67
883,"Well, could he be very emotional?",33
884,"Yes, he could.",14
885,Does that mean I should not listen to anything?,47
886,"He says, no, it doesn't.",24
887,Means I should monitor your emotions and I should take that into account.,73
888,"But I should also be saying, there's got to be some core of truth to what he's saying.",86
889,"Now, is it possible that Joe is just a bad actor and just evil?",63
890,"Yes, it is.",11
891,How do I know that unless I listen to you?,42
892,Is there a answer as you don't?,31
893,You know what I'm hearing right now?,36
894,Jocco and the rock 2020.,24
895,That's what I'm hearing.,24
896,"Come on, son.",13
897,I think.,8
898,I need you.,11
899,Yeah.,5
900,"Well, I really hope it doesn't get to that point.",49
901,Like saying all makes fantastic sense.,38
902,But the problem is everybody is so partisan.,44
903,"It's so difficult to get people to work together and people are so, there's so much invested in keeping this party divided by these party lines, keeping the country divided by the right and the left.",199
904,It's so nuts.,13
905,It's completely nuts.,21
906,It's completely nuts.,21
907,"And when you hear the extremists on either side, you should say to yourself, you should say to yourself, they want us to fight.",127
908,Right?,6
909,"It's like, you know, here, I'll drop dime on myself.",52
910,"I'm a big, like when I was a kid in the SEAL teams, I was an instigator.",72
911,"If I could talk smack to two different people and let them start to get escalating like they wanted to fight, I would do that all day long, especially once I started training people, Jiu Jitsu, you know, I'd be the guy that was saying, oh, he thinks he could take you now because he trained for two weeks.",305
912,You haven't been here.,22
913,"And he said, what do you, he said that, you know, I would do that all day long, escalate.",89
914,So we have to do that because it's fun to watch people fight to the death.,74
915,That's what I did when I was on fear factor.,44
916,It's always instigating people.,31
917,It's fun.,9
918,"Yeah, there's, there's some level of fun to it.",47
919,"Yeah, but fighting to the death is, there's a different kind of fun.",68
920,"Yeah, but when you recognize that when people on the extremes are telling you extreme things that what they want is to create a divide, that's what they want so that you just go, you know what, I just can't have that song vote in here or I just can't have this song vote in here.",279
921,"It's a, it's a nightmare.",25
922,It is a nightmare.,18
923,It's a very difficult one to get out of.,40
924,You need real leadership to get out of it.,42
925,Yeah.,5
926,And that's just absent right now on both sides.,47
927,Totally absent and there's no middle ground.,44
928,"No, no, there's no one that says, well, you know, I, I, you know, I, I like some of Trump's policies, right?",108
929,Someone says that.,18
930,"It's like, oh, just destroy that person.",40
931,You must be a nuts.,19
932,Yeah.,5
933,"I agree with, I agree with Nancy Pelosi on this thing.",54
934,"You must be, you know, a communist, you know, either way, but that's the way, that's where we're at.",100
935,"Yeah, that's why unfortunately, well, fortunately, unfortunately, but if, if the rock was going to run, I think he would own, I think you would have to run as an independent, right, to just say, listen, I'm not down.",216
936,There's some things I agree with over there.,44
937,There's some things I agree with over there.,44
938,So you know what I'm doing?,27
939,"I'm going in the middle, which is where most of America is.",59
940,"So if you want to vote extremist, you can go to this side, other extremist, you can go to this side.",100
941,Everyone else vote for me.,26
942,But when was the last time someone even won as a governor that was an independent?,82
943,Was it Jesse Ventura?,21
944,Possibly.,9
945,Minnesota.,10
946,"Yeah, possibly.",15
947,It might have been him.,23
948,"I mean, you never even hear about it.",37
949,Yeah.,5
950,"Well, there's, there's a whole like money thing that happens, right?",68
951,Yeah.,5
952,"There's a whole money thing where if you're not a Republican or a Democrat, you're not going to get those big coffers full of money to put paid advertising out and get people in the streets to vote for you.",206
953,"Yeah, you don't have the machine behind you, you know, the DNC behind you or the Republican party.",98
954,"Yeah, it's, it's a real weird situation we find ourselves in with no clear path to sanity.",90
955,There's no clear path to sanity if we don't talk to each other and right now we're not.,87
956,Yeah.,5
957,We're not.,10
958,"I've seen, you know, the people are so just angry, just angry when you talk to them about this stuff.",101
959,Just anger comes out.,21
960,It's horrible.,14
961,It's horrible to watch.,23
962,Yeah.,5
963,"What, what disturbs me is that I don't see, I mean, in the past when there's been disputes or things have been wrong, it seems like there's a clear path to, to sort of work things out.",184
964,It doesn't seem like a clear path.,34
965,"It seems like every day it kind of gets a little worse, like people get ramped up even more.",92
966,"And then there's this event that's looming on the horizon, this November event, this election event, no matter what, whether it's left or right, whether Biden wins or Trump wins, it's going to be madness and chaos.",214
967,"It seems hard for me to understand that Biden could, it could maintain his health, you know, through a presidency.",114
968,That seems very challenging to me.,34
969,Yeah.,5
970,"I mean, it seems like he's been going down, you know, with his coherence level.",79
971,"You can kind of see it over even months, right?",47
972,"He's on a really, really rapid downward spiral.",47
973,"Well, it seems stressful for anybody.",37
974,It's a Trump for whatever fucking reason.,41
975,That guy eats it up.,20
976,"But for most people running for president alone, just the grueling, just the schedule that's involved and traveling and doing all these speeches and it just breaks them down.",174
977,"I mean, one of the reasons why Hillary lost was she just wasn't willing to travel as much.",90
978,There was all these different events that she was supposed to go to.,68
979,She just couldn't go.,21
980,She couldn't take it anymore.,29
981,"She thought she was going to win anyway, so she just stayed laid back.",70
982,Yeah.,5
983,Yeah.,5
984,"Hillary is a brutal thing, but it's really also just completely insane that the two candidates are these two people.",116
985,"Well, yeah, first of all, the best the Democrats could do.",58
986,"I mean, they had all these other people that were well spoken.",62
987,Yeah.,5
988,It seemed like young and healthy and there's so many.,53
989,That is hard to comprehend.,27
990,Yeah.,5
991,It's really hard to comprehend that.,36
992,"That you're looking at this group of whatever, we have 350 million people, 320 million people in America and this is who you end up with.",137
993,"Yeah, I mean, fucking anybody but Biden, anybody.",49
994,"I mean, we don't even know who his vice president is, right?",60
995,That's going to make a big deal.,32
996,"That's going to be a big deal because the vice president is compelling and interesting and he says he's going to pick a woman, whether he picks the problem, it was going to pick Klobuchar.",188
997,Klobuchar was responsible for a lot of those guys skating in Minneapolis.,73
998,So that's not good.,19
999,"And then if he's going to go with Kamala Harris, Tulsi Gabbard kind of took the legs out of that lady.",102
1000,So then who's left?,19
1001,"Mayor Pete, he seems like a guy who's just, you know, like he's got a playbook.",79
1002,He's kind of like following this Obama playbook and I just don't feel it from him at all.,89
1003,At least he's gay.,18
1004,We'd have a gay guy in office that would lighten people up a little bit.,72
1005,I believe that.,15
1006,We had a powerful gay leader.,29
1007,I think it'd be great for the country.,38
1008,"Like I think, you know, like the, the, the, one of the things about Obama being in office beside the fact, being in office, beside the fact that he's very articulate and educated and so well spoken statesman, is that it's like, hey, look, we're making progress.",261
1009,We have a black president.,26
1010,Like I felt that.,17
1011,I felt like a wave across the country.,38
1012,"People like, you, you can be president in this country.",55
1013,"Like even if you're born out of a single family, single mother family and you're a black guy, you can, as long as you got the goods, you can make it.",149
1014,Like this is great.,19
1015,This means we really are living in a meritocracy and it would be great if there was a gay guy that had the same experience.,123
1016,"Like, like all the people that are homophobes, like, yeah, but that fucking mayor, he's got me.",95
1017,"Yeah, I'm not the Bible says, but you know what?",48
1018,Fuck the Bible.,15
1019,I'm voting for that guy.,24
1020,He's better than Trump.,23
1021,"I mean, that would be great, but he's just, I don't think he's the guy.",71
1022,Maybe he's the guy someday.,27
1023,"He's also a young guy, right?",29
1024,So who else?,12
1025,Who the fuck is there?,22
1026,Especially since it's going to be Biden and he said it's going to be a woman.,77
1027,He's definitely not going to go with Tulsi.,43
1028,She's too fucking dangerous.,28
1029,The Democrats are scared of her.,32
1030,She doesn't play games.,23
1031,Which is so crazy.,18
1032,I know she's got everything.,28
1033,Everything they want.,21
1034,"Woman of color, Congresswoman served overseas, two deployments.",63
1035,Yeah.,5
1036,She's got everything.,21
1037,She's super articulate.,23
1038,She's level headed.,19
1039,Super level headed.,19
1040,Very intelligent.,17
1041,But she's just not corrupt.,27
1042,She's got this one problem.,27
1043,That's the one problem.,23
1044,"I mean, other than that, you look at it like Jesus Christ is lady.",66
1045,She's willing to talk to people on the other side.,50
1046,"She's, you know, she's a, a stateswoman.",40
1047,"She's a, you know, the way she speaks.",38
1048,She speaks like a leader.,25
1049,There won't even consider her.,30
1050,She's too dangerous.,20
1051,"Well, I'm going back to DJ, Duane Narak Johnson.",48
1052,Yes.,4
1053,That's what I'm saying.,23
1054,Independent.,12
1055,Yeah.,5
1056,Yeah.,5
1057,"And Duane and Jaco, 2020.",25
1058,"Come on, man.",13
1059,We need you.,12
1060,"Uh, it's, it's very, very, it's very horrible.",46
1061,"And, and when I see all this divide, right, this is one thing that just, two, two have been in the military and have been on the battlefield and fought alongside guys.",167
1062,"Of every background, every background that you can imagine, white, black, Mexican, whatever, Puerto Rican, Asian, they're, uh, everyone's out there.",148
1063,Everyone's out there.,21
1064,"And by the way, going to memorial services for these guys overseas, there's not one thought in your head.",105
1065,"There's not one thought in your head that's thinking, oh, underneath the, the flag on that coffin, is that a black guy or that a white guy?",139
1066,"Not one thought in your head is thinking that in any way, shape or form.",72
1067,"Well, you know, is that that person took a bullet, got blown up.",64
1068,That could be me.,17
1069,They took that for me.,22
1070,"And to come back here and, and now see this, this, this country being ripped apart.",83
1071,"It's, that's the most horrible thing for me.",44
1072,"This is something that gets discussed a lot by guys and teams and by different guys in the military period that when you've served overseas with, with these guys, that racism becomes the least, the least considered thing.",221
1073,"It's your, your brothers, because you're literally the consequences of your actions, the consequences of your day to day existence is so, so dire life and death.",161
1074,It's the most drastic consequences that we are aware of.,56
1075,There's nothing you're losing your life or you're not or they save you or they don't.,85
1076,"Your brothers, you're all together.",35
1077,"But in this world, the consequences are less grave and the requirements of people are less extreme.",99
1078,You're not as tested.,21
1079,"You're not, your character is not exposed.",42
1080,"You are not as, you're not as vulnerable in that sense.",55
1081,"And because of that, I think people are more outraged and they're finding more reasons why we're separate.",106
1082,More reasons to divide us.,26
1083,"More reasons why they're different from us, whether it's because of ideology or skin color.",91
1084,Sam Harris has a podcast where he's discussing all the different things and he brings it one really great point.,112
1085,The podcast that's out now.,27
1086,"He said, could you imagine a world where we think of color the same way we think of hair color?",95
1087,Like the color of people's skin is the same way.,48
1088,Could you imagine a world where I don't trust redheads?,55
1089,"I don't, those people with dark brown hair are fucking creepy to me.",68
1090,"You know, all the people in my neighborhood that are blonde, they're all shady.",79
1091,That seems so preposterous.,27
1092,"Well one day, the goal would be so great.",41
1093,"If one day, that's how we feel about all skin color.",52
1094,It's no different than hair color.,34
1095,"It's just characteristics that you were born with, that you have no control over.",81
1096,Who you are is what's important.,32
1097,That's it.,10
1098,That's what that's the position that the military puts you in.,62
1099,"It puts you in this position of, look, I got to rely on this guy.",65
1100,I got to rely on this guy.,26
1101,"And if they're reliable, I'm down.",34
1102,I'm good.,9
1103,"If they're not reliable, I got a problem.",41
1104,"It doesn't matter what color they are, it doesn't matter what they're, it doesn't matter any of that.",101
1105,"It's like, is this person going to be there?",44
1106,Is this a good person that's going to be there to back me up?,61
1107,That's all we care about.,25
1108,"For me, this is super regressive to be going through this, to watch the country go through this and think, how did, wait, wasn't I just 10 years ago overseas with a bunch of guys and we didn't care about any of this?",216
1109,Didn't enter into our minds.,28
1110,We're not looking at it all the time.,37
1111,And I guess part of it is because you're in a fight.,52
1112,You're in a struggle.,21
1113,"And right now, let's face it, in America, there's not a lot of struggling happening.",84
1114,We're kind of making our own struggle right now.,48
1115,Exactly.,8
1116,"And I think one of the things you've talked about that's very important is that a lot of this divide is because of this really shitty way of communicating, whether it's through social media or whether it's through reading stories or watching videos.",249
1117,"It's a terrible way to not just get in for information, but it's a terrible way to interact with people.",104
1118,"Like, the way to interact with people is the way you and I are doing it right now.",82
1119,Talk to people and I think the vast majority of problems would be solved amongst reasonable people if they just talked through.,127
1120,"They just talk to try to figure out, you know, you know, hey man, I didn't like that you did this.",98
1121,"Well, what did I, well, all right, well, I was thinking when I did this, here's what, you're right.",99
1122,Here's why I did it.,20
1123,And this is what I was thinking and I was wrong because of that.,64
1124,"And if people could just say that and people could accept that, people could shake hands or hug it out.",103
1125,"And rather than have a fucking Twitter beef that leads to a gun fight, I mean, literally that's the way we exchange information with each other back and forth through social media is the absolute worst way people can talk.",222
1126,You're not looking at each other.,33
1127,You don't get any social cues.,30
1128,You don't feel any empathy towards that person that you're not in front of them.,80
1129,You're not there.,17
1130,"And you're looking to see how many people agree or disagree, who's liking or dislike because it's a public thing, right?",120
1131,So how many likes do they get?,30
1132,Their thing got 400 likes.,26
1133,Mine only got 20.,17
1134,Shit.,5
1135,You're wrong here?,18
1136,It's just a terrible way for us.,32
1137,It's a new found way for us to communicate and a terrible way for us to communicate.,84
1138,"It's not, we're not designed for it.",36
1139,This is not how we evolved.,27
1140,We evolved to communicate with social cues and to look at each other and be around each other.,94
1141,"And you know, you could say something to a person and you're both laughing or you see it written down the same way.",115
1142,"And you're like, that has a fucking asshole.",44
1143,Yeah.,5
1144,"Even from a leadership perspective, we'll talk about this a lot with, hey, I'll send you an email that says, hey, Joe, can you get this project done next week?",159
1145,Thanks.,7
1146,And you're in a bad mood when you read that.,44
1147,"You know, you're like, who the hell do you think you're telling?",64
1148,"But if I was like, hey, Joe, can you get this project done by next week?",72
1149,We really need it.,18
1150,I'm looking at you and kind of give me a blank stare and I explained it to you a little bit more and all of a sudden it turns into a perfectly good conversation.,161
1151,Exactly.,8
1152,"But when I send you that email or in this case, a tweet, then you hate me.",74
1153,Yeah.,5
1154,"It's like we got management to do, right?",41
1155,"You got to, when you want something out of someone or you want some things to get done, you got to manage that person's personality and mood and you got to manage the relationship that you have with each other.",210
1156,And you have to be proactive.,29
1157,"You have to, you have to call them, it's up man.",48
1158,How you doing?,14
1159,Everything good?,16
1160,You good?,9
1161,"Like, they have to get a good feeling out of you.",49
1162,Yeah.,5
1163,"Like, I got to ask you this favor, I need this thing from you.",62
1164,And then you're rolling and everything's good.,46
1165,Exactly.,8
1166,"If you don't do it that way, then people go, fuck this guy.",59
1167,"Well, this guy just wants things from me or this guy's annoying or, you know, this guy's treating me like a bitch.",114
1168,Exactly.,8
1169,Yeah.,5
1170,The world through Zoom right now.,33
1171,So we're doing a lot of zooming.,32
1172,So my company has it on front.,30
1173,"The, just the video alone increases your ability to communicate, right?",71
1174,Massively.,10
1175,It doesn't get all the way there.,33
1176,But just being able to look at someone and have a conversation with them as opposed to either just a here and a phone or absolutely.,132
1177,"So, so that idea of, hey, I'm actually going to sit down and talk to you.",73
1178,I'm actually going to sit down.,31
1179,"Hey, I'll meet you.",19
1180,"The are like we pivoted obviously once, you know, we used to go into or we still do, but going into businesses and working with them.",133
1181,"Shake and hands, how you doing, talking to them.",48
1182,"And then all of a sudden in three days, we were doing everything online.",72
1183,Everything.,11
1184,"Hey, meet me on this Zoom call.",31
1185,You can get there.,18
1186,You can get 97% effectiveness just by looking at someone and talking to them.,77
1187,"You know, as, like I said, there's a little percentage that you're still not going to get.",90
1188,"But if you think you're going to communicate effectively through social media tweets, you're just freaking wrong.",113
1189,"Yeah, that's one step below email, right?",41
1190,Social media tweets is one step below email.,44
1191,Emails one step above that.,27
1192,Phone calls is one step above that.,35
1193,Zoom is a step above that.,26
1194,Another layer.,14
1195,Person of persons the best.,27
1196,Person of persons.,18
1197,That's what we're designed for.,31
1198,"Everything else is just, it's, and that's what's leading to all this fucking madness in chaos.",94
1199,That's a lot of it is fueled.,29
1200,"It's weaponized by, by social media tweets.",43
1201,"And yeah, because by the way, when you send me a tweet to be, to be an asshole to me, I, I actually just retweet that and tell everyone what an asshole you are.",160
1202,A bunch of people retweeted as well.,36
1203,Yeah.,5
1204,"They're like, it may have.",26
1205,"Oh, God.",8
1206,"We're not, we're not working together.",38
1207,Right?,6
1208,"That's another thing that COVID did, right?",43
1209,"All of a sudden, we took everyone and isolated them.",52
1210,"You're not, you're not seeing them.",35
1211,Yeah.,5
1212,You're not talking to them.,27
1213,So now everyone is almost strictly communicating by these methods that you're talking about.,92
1214,"This is horrible, horrible for society.",39
1215,Horrible for society.,21
1216,"The idea of coming to work in a place, right?",45
1217,"The idea of, hey, I'm going to show up and work at a place with other people.",77
1218,That is such a huge part of getting back to where we need to be.,64
1219,"Like when you pull everyone out of work and there, and even worse, and I'm not even just beyond COVID, you know, what happens?",126
1220,"We've moved all manufacturing overseas, right?",46
1221,"So all those people that used to go and work in the same place every day, that used to show up and have a common mission and a common goal, they don't have that anymore.",169
1222,Much of the middle class doesn't have that anymore.,51
1223,They used to have it.,21
1224,They don't have it anymore.,27
1225,And that's interestingly China's middle class is growing right now.,67
1226,Why is there middle class growing?,34
1227,Because they're manufacturing.,30
1228,They're making things.,22
1229,"They're filling that void of people that have that level of skill set of, hey, you know what?",93
1230,I just got out of high school.,30
1231,I can't afford college.,23
1232,So what am I going to do?,25
1233,Right?,6
1234,"Oh, well, in China, well, you can say, okay, well, I guess I'm going to work at a factory.",90
1235,"Hey, it's a horrible sweatshirt.",32
1236,"It's whatever we need, that they need to improve their, their conditions.",73
1237,"But hey, these people have a job.",33
1238,They have a purpose.,20
1239,They're moving into certain direction.,38
1240,"In America, we've kind of, all a massive scale gotten rid of that class of people's purpose.",92
1241,"And that's a big focus for you, right?",38
1242,You're company origin in particular.,36
1243,Yeah.,5
1244,"Oh, which by the way, I got the boots.",38
1245,They're fucking dope.,21
1246,You guys make great shit.,25
1247,"It's like really high quality, really beautifully manufactured stuff.",69
1248,And there's something very valuable right now about American made.,66
1249,"It used to be, it was very divisive.",36
1250,"Like you said, American made like, what are you?",48
1251,"A xenobobic, you know, like foreigners, what the fuck is wrong with you?",72
1252,"But now you realize like, oh, with COVID, you know, we were cut off from even getting goods and supplies from other countries.",126
1253,And then we were getting so much of our medical supplies from China.,68
1254,"And then we were getting so much of our vaccines and medicine, all these different things manufactured by China.",112
1255,"You're like, hey, why don't we do that here?",44
1256,"What we used to, but I was cheaper by like a dollar thing to send it over there.",80
1257,"Like, oh, Christ.",17
1258,And people are realizing now there's a great benefit to making things here in America.,86
1259,And it's not just this idea of national pride.,46
1260,National pride's great.,23
1261,"But also like, you don't have to go anywhere to get things and you keep jobs here.",82
1262,Yeah.,5
1263,And I think Kanye West is looking to build the same thing as we're doing.,73
1264,He wants to manufacture stuff in America.,41
1265,Why?,4
1266,"Because he knows when you have a bunch of under-privileged kids, the best thing you can provide, a bunch of under-privileged kids is jobs.",138
1267,Jobs that they can entry-level jobs.,36
1268,"Hey, no, when I was a kid, it was almost like, hey, if you're not careful, you're going to end up working in the factory, right?",128
1269,"That's what's going to, you know, you can end up working in a factory.",70
1270,No one wanted a factory job.,28
